Carleton University,84.3,80,11755,379,45.3876,-75.696,20,27811,12602.71,10,https://carleton.ca/engineering-design/future-students/undergraduate-programs/,32.50,50.30,14.00,3.2,
Lakehead University,81.9,70,8956,337,48.4211,-89.2607,27,8446,13284,13,https://www.lakeheadu.ca/programs/faculties/engineering/undergraduate-programs,19.00,50.00,26.00,5.00,
Laurentian University,82.5,75,9461,165,46.47,-80.9745,37,7897,8202,14,https://laurentian.ca/undergraduate-programs,21.00,52.90,21.00,5.10,
McMaster University,91.1,85,11194,232,43.2609,-79.9192,6,30994,9350,3,https://www.eng.mcmaster.ca/programs/departments-schools-programs,38.00,48.00,12.00,2.00,
Ontario Tech University,81.3,75,12010,126,43.9458,-78.896,26,8924,7700,11,https://engineering.ontariotechu.ca/future-students/undergraduate/undergraduate-programs.php,23.50,49.90,20.40,6.30,
Queens University,91.1,85,13243,283,44.2253,-76.4951,14,28553,9525,4,https://engineering.queensu.ca/programs/undergraduate/index.html,50.80,39.50,7.90,1.90,
Ryerson University,86.6,80,11163,743,43.6577,-79.3788,25,39471,12652.06,7,https://www.ryerson.ca/engineering-architectural-science/programs/undergraduate/programs/,21.00,54.00,20.00,5.00,
University of Guelph,87.3,85,12806,169,43.5327,-80.2262,18,27997,8632,6,https://www.uoguelph.ca/engineering/undergraduate/why-guelph-engineering,47.80,42.00,8.30,1.90,
University of Ottawa,85.3,75,6332,13,45.4231,-75.6831,8,38959,10695,8,https://engineering.uottawa.ca/undergraduate-programs,16.90,56.90,21.30,4.90,
University of Toronto,93.3,85,15864,637,43.6629,-79.3857,1,87083,15781,1,https://discover.engineering.utoronto.ca/programs/engineering-programs/,25.20,47.70,21.60,5.50,
University of Waterloo,93.1,85,15115,741,43.4723,-80.5449,10,38739,9375,2,https://uwaterloo.ca/engineering/future-undergraduate-students/programs-and-options,30.20,49.10,16.50,4.10,
University of Western,89.6,85,13762,332,43.00995,-81.273613,9,38376,14910,5,https://www.eng.uwo.ca/undergraduate/programs/index.html,41.00,47.00,11.00,2.00,
University of Windsor,84.6,75,10638,163,42.3043,-83.066,27,15569,8164,12,https://www.uwindsor.ca/engineering/341/undergraduate-programs,17.10,55.40,22.50,5.00,
York University,84.3,75,14450,772,43.7735,-79.5019,19,46906,12351,9,http://discover.lassonde.yorku.ca/our-programs/,20.90,53.40,21.10,4.50,